sample_name;collection_date;Geographic_area;Spalding;Locality;Locality_detailed;Sub_Locality_detailed;Type_Habitat;Depth;Campaign;Latitude;Longitude;Marker;Season;Type_habitat_broad;Region;Locality_pre_splitting_Sete
Mar0621_AJA_E1;29/06/2021;Mediterranean Sea;Western Mediterranean;Ajaccio;Ajaccio_ext;outside_1;Natural_OutsidePort;0.5;MarEEE-SUCHIMED-2021;41.917.053;87.461;12S;Summer;Natural;Corsica;Ajaccio
Mar0621_AJA_E2;29/06/2021;Mediterranean Sea;Western Mediterranean;Ajaccio;Ajaccio_ext;outside_2;Natural_OutsidePort;0.5;MarEEE-SUCHIMED-2021;41.917.128;8.746.989;12S;Summer;Natural;Corsica;Ajaccio
Mar0621_AJA_E3;29/06/2021;Mediterranean Sea;Western Mediterranean;Ajaccio;Ajaccio_ext;outside_3;Natural_OutsidePort;0.5;MarEEE-SUCHIMED-2021;41.917.094;8.747.428;12S;Summer;Natural;Corsica;Ajaccio
Mar0621_AJA_P4;29/06/2021;Mediterranean Sea;Western Mediterranean;Ajaccio;Ajaccio_marina;Pontoon_1;Marina;0.5;MarEEE-SUCHIMED-2021;41.918.977;8.742.947;12S;Summer;Artificial;Corsica;Ajaccio
Mar0621_AJA_P5;29/06/2021;Mediterranean Sea;Western Mediterranean;Ajaccio;Ajaccio_marina;Pontoon_2;Marina;0.5;MarEEE-SUCHIMED-2021;41.918.522;8.742.079;12S;Summer;Artificial;Corsica;Ajaccio
Mar0621_AJA_P6;29/06/2021;Mediterranean Sea;Western Mediterranean;Ajaccio;Ajaccio_marina;Pontoon_3;Marina;0.5;MarEEE-SUCHIMED-2021;41.918.479;8.740.599;12S;Summer;Artificial;Corsica;Ajaccio
Mar0621_BAS_E1;04/07/2021;Mediterranean Sea;Western Mediterranean;Bastia;Bastia_ext;outside_1;Natural_OutsidePort;0.5;MarEEE-SUCHIMED-2021;42.711.697;945.684;12S;Summer;Natural;Corsica;Bastia
Mar0621_BAS_E2;04/07/2021;Mediterranean Sea;Western Mediterranean;Bastia;Bastia_ext;outside_2;Natural_OutsidePort;0.5;MarEEE-SUCHIMED-2021;42.711.868;945.692;12S;Summer;Natural;Corsica;Bastia
Mar0621_BAS_E3;04/07/2021;Mediterranean Sea;Western Mediterranean;Bastia;Bastia_ext;outside_3;Natural_OutsidePort;0.5;MarEEE-SUCHIMED-2021;42.711.836;945.695;12S;Summer;Natural;Corsica;Bastia
Mar0621_BAS_P4;04/07/2021;Mediterranean Sea;Western Mediterranean;Bastia;Bastia_toga_marina;Pontoon_1;Marina;0.5;MarEEE-SUCHIMED-2021;42.707.082;9.454.607;12S;Summer;Artificial;Corsica;Bastia
Mar0621_BAS_P5;04/07/2021;Mediterranean Sea;Western Mediterranean;Bastia;Bastia_toga_marina;Pontoon_2;Marina;0.5;MarEEE-SUCHIMED-2021;42.707.762;9.454.388;12S;Summer;Artificial;Corsica;Bastia
Mar0621_BON_E1;01/07/2021;Mediterranean Sea;Western Mediterranean;Bonifaccio;Bonifaccio_ext;outside_1;Natural_OutsidePort;0.5;MarEEE-SUCHIMED-2021;41.385.761;9.145.914;12S;Summer;Natural;Corsica;Bonifaccio
Mar0621_BON_E2;01/07/2021;Mediterranean Sea;Western Mediterranean;Bonifaccio;Bonifaccio_ext;outside_3;Natural_OutsidePort;0.5;MarEEE-SUCHIMED-2021;41.385.867;9.146.133;12S;Summer;Natural;Corsica;Bonifaccio
Mar0621_BON_E3;01/07/2021;Mediterranean Sea;Western Mediterranean;Bonifaccio;Bonifaccio_ext;outside_2;Natural_OutsidePort;0.5;MarEEE-SUCHIMED-2021;41.385.819;9.146.376;12S;Summer;Natural;Corsica;Bonifaccio
Mar0621_BON_P4;30/06/2021;Mediterranean Sea;Western Mediterranean;Bonifaccio;Bonifaccio_marina;Pontoon_1;Marina;0.5;MarEEE-SUCHIMED-2021;41.388.401;9.162.104;12S;Summer;Artificial;Corsica;Bonifaccio
Mar0621_BON_P5;30/06/2021;Mediterranean Sea;Western Mediterranean;Bonifaccio;Bonifaccio_marina;Pontoon_2;Marina;0.5;MarEEE-SUCHIMED-2021;41.388.268;9.163.273;12S;Summer;Artificial;Corsica;Bonifaccio
Mar0621_BON_P6;30/06/2021;Mediterranean Sea;Western Mediterranean;Bonifaccio;Bonifaccio_marina;Pontoon_3;Marina;0.5;MarEEE-SUCHIMED-2021;41.388.308;916.437;12S;Summer;Artificial;Corsica;Bonifaccio
Mar0621_CAL_E1;28/06/2021;Mediterranean Sea;Western Mediterranean;Calvi;Calvi_ext;outside_1;Natural_OutsidePort;0.5;MarEEE-SUCHIMED-2021;42.566.164;8.763.922;12S;Summer;Natural;Corsica;Calvi
Mar0621_CAL_E2;28/06/2021;Mediterranean Sea;Western Mediterranean;Calvi;Calvi_ext;outside_2;Natural_OutsidePort;0.5;MarEEE-SUCHIMED-2021;42.565.977;8.763.817;12S;Summer;Natural;Corsica;Calvi
Mar0621_CAL_E3;28/06/2021;Mediterranean Sea;Western Mediterranean;Calvi;Calvi_ext;outside_3;Natural_OutsidePort;0.5;MarEEE-SUCHIMED-2021;42.565.833;8.763.483;12S;Summer;Natural;Corsica;Calvi
Mar0621_CAL_P4;28/06/2021;Mediterranean Sea;Western Mediterranean;Calvi;Calvi_marina;Pontoon_1;Marina;0.5;MarEEE-SUCHIMED-2021;42.563.651;8.756.427;12S;Summer;Artificial;Corsica;Calvi
Mar0621_CAL_P5;28/06/2021;Mediterranean Sea;Western Mediterranean;Calvi;Calvi_marina;Pontoon_2;Marina;0.5;MarEEE-SUCHIMED-2021;42.563.906;8.756.903;12S;Summer;Artificial;Corsica;Calvi
Mar0621_CAL_P6;28/06/2021;Mediterranean Sea;Western Mediterranean;Calvi;Calvi_marina;Pontoon_3;Marina;0.5;MarEEE-SUCHIMED-2021;42.564.619;8.757.279;12S;Summer;Artificial;Corsica;Calvi
